strain	skewi
05LoS16R3_25.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4191068881
05LoS16R3_25.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4337110233
05LoS16R3_25.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3264747813
05LoS16R3_25.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4196467957
05LoS16R3_25.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3104901147
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4306686612
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2923253762
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4397231035
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2999198342
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4094220708
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2861165933
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4188167338
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2965609820
05LoS16R3_25.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4102026632
05LoS16R3_25.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3871287634
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4390189797
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4235867036
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4359715475
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4204616593
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4247900238
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4457858339
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4120949391
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4489171664
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4375598964
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4376731544
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4791142758
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4343795640
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4363347379
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4228631216
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4249549875
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4354917028
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3831283026
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4474213697
