strain	ori	ter	genomesize	cdscumskew
05LoS16R3_25.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0	4349229	8207930	-39
05LoS16R3_25.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0	3779811	8392685	-118
05LoS16R3_25.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0	3779811	8245029	63
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0	3779811	8312655	4
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0	3779811	8368903	-81
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0	3779811	8353238	6
05LoS16R3_25.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0	3779811	8261370	39
05LoS16R3_25.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0	3779811	7801022	76
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0	3861580	8177323	-14
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0	3994252	8309987	31
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0	3643491	7959235	-22
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0	3604127	7919866	-63
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0	3994253	8309988	29
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0	4006659	8322382	14
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0	3877465	8444656	-52
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0	4026242	8375710	70
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0	3863481	8158883	-15
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0	4189956	8473970	110
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0	3890679	8172576	37
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0	3632700	7952610	20
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0	3934719	8276910	25
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0	3760745	8094975	-24
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__CW1	0	3947657	8266518	34
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0	3869886	8169587	3
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0	3873210	8157858	-14
